,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Ath Paranaense,16069,19726,81.5,289739,103668,6906,7756,89.0,6566,7637,86.0,1913,3093,61.8,32,48.2,41.4,-16.2,455,1420,336,97,1772
1,Atlético Mineiro,14436,18064,79.9,241402,90768,7223,8020,90.1,5246,6274,83.6,1376,2607,52.8,26,41.2,32.6,-15.2,428,1193,316,68,1538
2,Avaí,12593,16439,76.6,225823,87317,5662,6498,87.1,5269,6381,82.6,1379,2648,52.1,9,23.3,22.2,-14.3,323,1103,175,66,1422
3,Bahia,12818,16564,77.4,229593,87433,5602,6499,86.2,5487,6603,83.1,1333,2516,53.0,24,35.4,28.8,-11.4,376,1135,254,83,1512
4,Botafogo (RJ),14223,17550,81.0,251304,88040,6298,6976,90.3,5894,6868,85.8,1531,2686,57.0,22,27.9,24.5,-5.9,289,854,183,67,1187
5,Ceará,12112,15897,76.2,213334,80931,5497,6341,86.7,4902,5978,82.0,1305,2555,51.1,24,32.5,28.3,-8.5,351,1036,271,74,1545
6,Chapecoense,11300,14787,76.4,207270,82670,5009,5721,87.6,4320,5266,82.0,1492,2759,54.1,22,30.0,21.1,-8.0,402,813,197,94,1175
7,Corinthians,14639,18190,80.5,257522,96930,6609,7451,88.7,6042,7069,85.5,1529,2671,57.2,26,30.5,26.6,-4.5,373,1137,271,102,1539
8,Cruzeiro,15242,18869,80.8,268954,100336,6967,7832,89.0,6417,7477,85.8,1511,2650,57.0,17,32.9,33.2,-15.9,381,1458,303,83,1840
9,CSA,10769,13965,77.1,200772,77308,4560,5199,87.7,4507,5382,83.7,1390,2618,53.1,15,25.0,22.1,-10.0,313,742,172,66,1070
10,Flamengo,16698,20202,82.7,286378,97859,7705,8594,89.7,6772,7800,86.8,1633,2568,63.6,64,63.2,52.8,0.8,455,1459,407,81,1992
11,Fluminense,18213,21495,84.7,293368,97831,9369,10187,92.0,6840,7809,87.6,1397,2295,60.9,20,40.8,35.7,-20.8,452,1347,377,98,1870
12,Fortaleza,12481,15606,80.0,242612,86628,4747,5441,87.2,5658,6604,85.7,1758,2804,62.7,33,33.6,25.4,-0.6,320,933,188,74,1267
13,Goiás,10506,13996,75.1,194683,75013,4516,5228,86.4,4303,5223,82.4,1347,2711,49.7,25,31.4,23.4,-6.4,347,995,187,68,1213
14,Grêmio,18106,21513,84.2,303687,98477,8670,9440,91.8,7203,8192,87.9,1595,2615,61.0,48,38.9,35.7,9.1,382,1510,260,55,1759
15,Internacional,16412,20116,81.6,281474,96925,7691,8470,90.8,6370,7478,85.2,1722,2916,59.1,25,37.6,33.8,-12.6,398,1167,321,85,1608
16,Palmeiras,12959,16277,79.6,233068,88209,5715,6447,88.6,5221,6171,84.6,1508,2601,58.0,42,44.5,36.2,-2.5,436,1099,316,97,1550
17,Santos,15131,18739,80.7,266817,90731,6961,7797,89.3,6173,7213,85.6,1634,2761,59.2,39,43.4,35.2,-4.4,412,1178,258,56,1695
18,São Paulo,15520,19033,81.5,252326,88820,7901,8758,90.2,5661,6597,85.8,1297,2349,55.2,32,34.7,32.9,-2.7,410,1126,270,63,1494
19,Vasco da Gama,11772,15252,77.2,209119,80561,5364,6133,87.5,4591,5516,83.2,1380,2604,53.0,20,35.9,25.8,-15.9,365,931,226,77,1317
