,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Real Madrid,38,26,9,3,70,25,45,87,229,67.9,33.3,34.6,91,45.833,Karim Benzema,Thibaut Courtois,21
1,2,Barcelona,38,25,7,6,86,38,48,82,216,66.3,38.3,28.0,74,54.223,Lionel Messi,Marc-André ter Stegen,25
2,3,Atlético Madrid,38,18,16,4,51,27,24,70,184,56.8,32.5,24.4,64,42.236,Álvaro Morata,Jan Oblak,12
3,4,Sevilla,38,19,13,6,54,34,20,70,184,53.2,36.1,17.1,45,25.016,Lucas Ocampos,Tomáš Vaclík,14
4,5,Villarreal,38,18,6,14,63,49,14,60,158,63.6,46.3,17.3,45,11.321,Gerard Moreno,Sergio Asenjo,18
5,6,Real Sociedad,38,16,8,14,56,48,8,56,147,48.9,43.0,5.8,15,21.204,Willian José,Álex Remiro,11
6,7,Granada,38,16,8,14,52,45,7,56,147,44.9,42.6,2.3,6,11.174,Carlos Fernández,Rui Silva,10
7,8,Getafe,38,14,12,12,43,37,6,54,142,41.6,41.4,0.2,0,8.0,Jaime Mata,David Soria,11
8,9,Valencia,38,14,11,13,46,53,-7,53,139,43.3,56.0,-12.7,-33,29.658,Maxi Gómez,Jasper Cillessen,10
9,10,Osasuna,38,13,13,12,46,54,-8,52,137,49.4,49.4,0.1,0,11.453,Ezequiel Ávila,Sergio Herrera,9
10,11,Athletic Club,38,13,12,13,41,38,3,51,134,41.5,48.8,-7.3,-19,28.039,Raúl García,Unai Simón,15
11,12,Levante,38,14,7,17,47,53,-6,49,129,48.1,62.9,-14.8,-39,13.196,Roger Martí,Aitor Fernández,11
12,13,Valladolid,38,9,15,14,32,43,-11,42,111,36.6,54.5,-18.0,-47,13.58,Sergi Guardiola,Jordi Masip,8
13,14,Eibar,38,11,9,18,39,56,-17,42,111,42.0,53.0,-11.0,-29,4.151,Fabián Orellana,Marko Dmitrović,8
14,15,Betis,38,10,11,17,48,60,-12,41,108,51.0,54.8,-3.7,-10,35.969,Loren Morón,Joel Robles,10
15,16,Alavés,38,10,9,19,34,59,-25,39,103,39.3,57.8,-18.5,-49,12.177,"Joselu, Lucas Pérez",Fernando Pacheco,11
16,17,Celta Vigo,38,7,16,15,37,49,-12,37,97,39.2,45.3,-6.1,-16,11.995,Iago Aspas,Rubén Blanco,14
17,18,Leganés,38,8,12,18,30,51,-21,36,95,39.9,42.8,-2.9,-8,7.539,Óscar Rodríguez Arnaiz,Iván Cuéllar,9
18,19,Mallorca,38,9,6,23,40,65,-25,33,87,41.1,63.5,-22.4,-59,10.877,Ante Budimir,Manolo Reina,13
19,20,Espanyol,38,5,10,23,27,58,-31,25,66,38.6,51.0,-12.4,-33,16.26,"Raúl de Tomás, David López...",Diego López,4
