,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,América (MG),47.6,20646,2049,5898,9288,5724,728,20637,716,419,58.5,297,41.5,11475,66153,34680,736,577,143,650,370,12120,1494
1,Ath Paranaense,49.0,21642,2254,6725,10308,4778,614,21640,474,281,59.3,192,40.5,12455,62093,31982,579,403,90,558,296,14167,1423
2,Atl Goianiense,49.4,21323,2516,7478,9266,4803,559,21319,653,355,54.4,298,45.6,11937,64108,33831,559,401,111,590,307,13545,1390
3,Atlético Mineiro,56.2,24352,2147,6899,11649,6030,764,24341,617,369,59.8,247,40.0,14004,66454,35117,616,530,153,573,316,16969,1738
4,Bahia,47.1,20674,2071,6524,9406,4942,646,20669,529,303,57.3,226,42.7,11718,59550,32444,630,429,108,585,312,12634,1491
5,Ceará,46.6,19727,2022,5690,9315,4964,687,19723,578,364,63.0,214,37.0,10355,54107,27677,548,419,117,616,301,11720,1373
6,Chapecoense,42.6,19308,2258,6742,8523,4280,510,19303,583,347,59.5,235,40.3,10696,57013,27567,504,386,91,618,301,11353,1094
7,Corinthians,54.6,25491,2172,7661,12656,5408,660,25485,653,357,54.7,296,45.3,15831,76912,38663,656,547,145,580,303,18185,1540
8,Cuiabá,46.3,20547,2313,6633,9378,4772,538,20543,590,318,53.9,272,46.1,11141,62211,31823,567,446,109,674,297,12777,1335
9,Flamengo,58.5,25508,1892,6162,12272,7378,1001,25504,853,525,61.5,328,38.5,16237,84683,44738,894,654,244,659,376,17727,2033
10,Fluminense,49.7,21906,1917,6590,10771,4787,631,21901,629,378,60.1,251,39.9,12490,62762,33478,565,446,110,605,332,14306,1404
11,Fortaleza,49.9,20351,1952,5818,10082,4735,676,20344,708,445,62.9,263,37.1,11564,65175,34275,628,511,121,632,257,12717,1465
12,Grêmio,51.9,22810,1554,5505,11102,6468,752,22803,741,439,59.2,301,40.6,13408,69727,36008,813,631,180,561,306,14917,1605
13,Internacional,50.8,22085,2112,6230,11016,5090,623,22079,624,341,54.6,283,45.4,12506,66490,34636,672,559,115,610,316,13980,1337
14,Juventude,44.6,20119,2160,6793,9354,4191,492,20113,615,371,60.3,244,39.7,11146,57169,28462,494,410,98,607,322,12618,1169
15,Palmeiras,50.1,21585,2223,6819,10154,4867,736,21580,600,349,58.2,252,42.0,13042,70030,36705,694,514,160,529,258,13992,1487
16,Red Bull Bragantino,49.6,21872,2392,7237,9689,5181,581,21868,595,368,61.8,227,38.2,12799,70944,38502,661,540,112,649,350,13780,1448
17,Santos,53.4,23122,2245,6849,10799,5731,584,23114,683,379,55.5,304,44.5,13656,78866,43513,792,656,125,611,293,15292,1535
18,São Paulo,56.1,23281,2031,6573,11372,5559,695,23277,595,367,61.7,227,38.2,13077,68590,36186,677,503,112,593,308,15384,1618
19,Sport Recife,46.0,20643,2320,6862,9634,4374,518,20639,646,374,57.9,272,42.1,12068,63725,34579,585,462,66,643,295,12969,1247
